NAME,COLOR_COMBINATION,DATE,MALE_PUPPIES,FEMALE_PUPPIES,TOTAL_PUPPIES
NICARO'N,blue merle & tricolour,24.7.2017,2,2,4
SIMBELULUN,sable & tricolour,23.7.2017,1,2,3
PIKIKUONON,blue merle & tricolour,20.7.2017,2,5,7
ROSEBRIDGE'S,blue merle & tricolour,19.7.2017,0,3,3
SUSADAN,blue merle & tricolour,13.7.2017,4,1,5
,sable & sable,13.7.2017,1,2,3
WHIRLING'S,sable & sable,12.7.2017,0,3,3
NICE TRY,sable & sable,11.7.2017,2,2,4
BOSOM BUDDY'S,blue merle & tricolour,10.7.2017,2,1,3
BERNOBAN,black and white & black and white,9.7.2017,4,1,5
MARKHILL'S,sable & sable,9.7.2017,2,1,3
SHADOWMIST,sable & sable,8.7.2017,1,0,1
ZETLAND'S,sable & sable,7.7.2017,3,2,5
WHIRLING'S,sable & tricolour,7.7.2017,0,2,2
MYHAPPINESS,blue merle & tricolour,7.7.2017,2,2,4
PIUNPAUN,sable & tricolour,5.7.2017,1,4,5
,blue merle & tricolour,5.7.2017,1,2,3
JÄPÄLÄN,black and white & sable,4.7.2017,4,2,6
MINIKIITÄJÄN,sable & tricolour,28.6.2017,1,0,1
SAMMALMETSÄN,sable & sable,28.6.2017,1,1,2
KARHUVELJEN,black and white & sable,27.6.2017,2,1,3
KAUNISSAAREN,tricolour & tricolour,27.6.2017,2,2,4
SINIKETUN,sable & sable,26.6.2017,2,1,3
FROSTY NIGHT'S,blue merle & tricolour,26.6.2017,1,2,3
METSÄVAARAN,sable & tricolour,25.6.2017,0,2,2
ZELMARIAN,blue merle & tricolour,24.6.2017,0,1,1
NEITI NÄPPÄRÄN,blue merle & tricolour,24.6.2017,0,3,3
BLUEMEADOW'S,blue merle & tricolour,23.6.2017,3,1,4
BERNOBAN,black and white & sable,22.6.2017,2,2,4
BUSTLING'S,black and white & blue merle,22.6.2017,1,2,3
SHADELAND,tricolour & tricolour,20.6.2017,1,1,2
KAMAJAKIN,blue merle & tricolour,20.6.2017,2,3,5
JAGASAR,blue merle & tricolour,19.6.2017,4,1,5
KAITAKUONON,blue merle & tricolour,16.6.2017,1,2,3
CARDIWE'S,blue merle & tricolour,15.6.2017,3,5,8
AMOR'JADE,sable & tricolour,15.6.2017,3,5,8
BERNOBAN,blue merle & tricolour,14.6.2017,0,1,1
,sable & tricolour,13.6.2017,2,2,4
ZELMARIAN,black and white & blue merle,9.6.2017,2,3,5
,sable & tricolour,5.6.2017,6,1,7
SERANNAN,tricolour & tricolour,3.6.2017,2,4,6
MUTATASSUN,sable & tricolour,2.6.2017,1,4,5
MERRY MOONRAY'S,blue merle & tricolour,30.5.2017,1,3,4
TOIVESADUN,sable & sable,29.5.2017,0,1,1
KÄPYLAAKSON,black and white & tricolour,29.5.2017,2,1,3
ANGRY BRIGADE'S,black and white & blue merle,28.5.2017,5,2,7
BLUEMEADOW'S,sable & tricolour,27.5.2017,0,4,4
SHEEPWHISPER'S,sable & tricolour,24.5.2017,3,0,3
LYSTI-KÄMÄ,blue merle & tricolour,21.5.2017,1,4,5
HELMIKUMMUN,blue merle & tricolour,20.5.2017,2,2,4
TOIVEIDEN,tricolour & tricolour,19.5.2017,1,1,2
LUONNIKKAAN,tricolour & tricolour,17.5.2017,0,1,1
AGARWAEN,tricolour & tricolour,12.5.2017,2,0,2
AR'TFULFOX'S,blue merle & tricolour,9.5.2017,3,0,3
ABUNDANTIA'S,blue merle & tricolour,7.5.2017,1,2,3
KULTALAN,blue merle & tricolour,7.5.2017,2,1,3
PELTSUN,sable & tricolour,6.5.2017,2,2,4
KARVAKEDON,sable & tricolour,5.5.2017,3,2,5
BLENMOON,sable & tricolour,5.5.2017,1,1,2
REVONHÄNNÄN,sable & tricolour,5.5.2017,5,0,5
MANSIKKAKUJAN,blue merle & tricolour,5.5.2017,1,5,6
